country_code,country,year,value,indicator
IND,India,2024,27139853378.1402,BX.KLT.DINV.CD.WD
IND,India,2023,28086193530.3979,BX.KLT.DINV.CD.WD
IND,India,2022,49940258404.2659,BX.KLT.DINV.CD.WD
IND,India,2021,44727277562.881,BX.KLT.DINV.CD.WD
IND,India,2020,64362364994.3753,BX.KLT.DINV.CD.WD
IND,India,2019,50610647353.5911,BX.KLT.DINV.CD.WD
IND,India,2018,42117450737.2643,BX.KLT.DINV.CD.WD
IND,India,2017,39966091358.7384,BX.KLT.DINV.CD.WD
IND,India,2016,44458571545.798,BX.KLT.DINV.CD.WD
IND,India,2015,44009492129.5319,BX.KLT.DINV.CD.WD
IND,India,2014,34576643694.1382,BX.KLT.DINV.CD.WD
IND,India,2013,28153031270.3202,BX.KLT.DINV.CD.WD
IND,India,2012,23995685014.2141,BX.KLT.DINV.CD.WD
IND,India,2011,36498654597.8589,BX.KLT.DINV.CD.WD
IND,India,2010,27396885033.7838,BX.KLT.DINV.CD.WD
CHN,China,2024,18556141172.84,BX.KLT.DINV.CD.WD
CHN,China,2023,51338076801.59,BX.KLT.DINV.CD.WD
CHN,China,2022,190203789092.51,BX.KLT.DINV.CD.WD
CHN,China,2021,344074977062.48,BX.KLT.DINV.CD.WD
CHN,China,2020,253095616058.58,BX.KLT.DINV.CD.WD
CHN,China,2019,187169822364.755,BX.KLT.DINV.CD.WD
CHN,China,2018,235365050036.341,BX.KLT.DINV.CD.WD
CHN,China,2017,166083755721.648,BX.KLT.DINV.CD.WD
CHN,China,2016,174749584584.05,BX.KLT.DINV.CD.WD
CHN,China,2015,242489331627.398,BX.KLT.DINV.CD.WD
CHN,China,2014,268097181064.335,BX.KLT.DINV.CD.WD
CHN,China,2013,290928431467.003,BX.KLT.DINV.CD.WD
CHN,China,2012,241213868161.42,BX.KLT.DINV.CD.WD
CHN,China,2011,280072219149.934,BX.KLT.DINV.CD.WD
CHN,China,2010,243703434558.177,BX.KLT.DINV.CD.WD
